# Atmospheric Model 1 (tropical)                  
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
    0.000     0.11668E-02  0.10383E+04  0.27072E-03
    1.000     0.10651E-02  0.92678E+03  0.24678E-03
    2.000     0.96972E-03  0.82511E+03  0.22449E-03
    3.000     0.87584E-03  0.73291E+03  0.20241E-03
    4.000     0.79512E-03  0.64943E+03  0.18364E-03
    5.000     0.72004E-03  0.57373E+03  0.16622E-03
    6.000     0.65021E-03  0.50528E+03  0.15004E-03
    7.000     0.58552E-03  0.44355E+03  0.13514E-03
    8.000     0.52649E-03  0.38800E+03  0.12142E-03
    9.000     0.47073E-03  0.33819E+03  0.10860E-03
   10.000     0.42066E-03  0.29367E+03  0.97034E-04
   11.000     0.37417E-03  0.25397E+03  0.86316E-04
   12.000     0.33205E-03  0.21870E+03  0.76599E-04
   13.000     0.29237E-03  0.18753E+03  0.67441E-04
   14.000     0.25861E-03  0.16001E+03  0.59648E-04
   15.000     0.22590E-03  0.13582E+03  0.52107E-04
   16.000     0.19642E-03  0.11474E+03  0.45308E-04
   17.000     0.16766E-03  0.96574E+02  0.38678E-04
   18.000     0.13837E-03  0.81320E+02  0.31914E-04
   19.000     0.11451E-03  0.68713E+02  0.26420E-04
   20.000     0.95277E-04  0.58253E+02  0.21980E-04
   21.000     0.79405E-04  0.49543E+02  0.18319E-04
   22.000     0.66420E-04  0.42271E+02  0.15325E-04
   23.000     0.56223E-04  0.36153E+02  0.12969E-04
   24.000     0.47710E-04  0.30968E+02  0.11005E-04
   25.000     0.40463E-04  0.26569E+02  0.93340E-05
   27.500     0.27073E-04  0.18239E+02  0.62451E-05
   30.000     0.18310E-04  0.12637E+02  0.42230E-05
   32.500     0.12495E-04  0.88329E+01  0.28822E-05
   35.000     0.86042E-05  0.62256E+01  0.19846E-05
   37.500     0.59782E-05  0.44227E+01  0.13785E-05
   40.000     0.41857E-05  0.31655E+01  0.96556E-06
   42.500     0.29564E-05  0.22816E+01  0.68197E-06
   45.000     0.20931E-05  0.16566E+01  0.48283E-06
   47.500     0.15001E-05  0.12116E+01  0.34598E-06
   50.000     0.11019E-05  0.88890E+00  0.25415E-06
   55.000     0.60359E-06  0.47496E+00  0.13921E-06
   60.000     0.32916E-06  0.24866E+00  0.75931E-07
   65.000     0.17872E-06  0.12549E+00  0.41228E-07
   70.000     0.92343E-07  0.60086E-01  0.21306E-07
   75.000     0.44911E-07  0.27185E-01  0.10360E-07
   80.000     0.20748E-07  0.11540E-01  0.47864E-08
   85.000     0.86620E-08  0.46214E-02  0.19978E-08
   90.000     0.33874E-08  0.18125E-02  0.78139E-09
   95.000     0.13015E-08  0.72217E-03  0.30018E-09
  100.000     0.52809E-09  0.29347E-03  0.12186E-09
  105.000     0.21378E-09  0.11968E-03  0.49309E-10
  110.000     0.93353E-10  0.47009E-04  0.21534E-10
  115.000     0.41872E-10  0.14904E-04  0.96590E-11
  120.000     0.20320E-10  0.00000E+00  0.47612E-11
