# Atmospheric Model 11 (TA Typical Atmosphere)
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
    0.000     1.2078e-03   1.0332e+03   2.7367e-04
    1.000     1.0990e-03   9.1924e+02   2.4902e-04
    2.000     9.9834e-04   8.1485e+02   2.2621e-04
    3.000     9.0349e-04   7.1927e+02   2.0472e-04
    4.000     8.1384e-04   6.3313e+02   1.8440e-04
    5.000     7.2941e-04   5.5672e+02   1.6528e-04
    6.000     6.5392e-04   4.8894e+02   1.4817e-04
    7.000     5.8872e-04   4.2560e+02   1.3340e-04
    8.000     5.2483e-04   3.6988e+02   1.1892e-04
    9.000     4.7003e-04   3.1834e+02   1.0650e-04
   10.000     4.1256e-04   2.7300e+02   9.3482e-05
   11.000     3.6203e-04   2.3447e+02   8.2032e-05
   12.000     3.1538e-04   2.0087e+02   7.1462e-05
   13.000     2.7160e-04   1.7182e+02   6.1541e-05
   14.000     2.3540e-04   1.4772e+02   5.3338e-05
   15.000     2.0184e-04   1.2581e+02   4.5735e-05
   16.000     1.7378e-04   1.0748e+02   3.9376e-05
   17.000     1.4877e-04   9.1671e+01   3.3710e-05
   18.000     1.2523e-04   7.7491e+01   2.8375e-05
   19.000     1.0666e-04   6.6251e+01   2.4168e-05
   20.000     8.9787e-05   5.6066e+01   2.0345e-05
   21.000     7.6428e-05   4.7966e+01   1.7318e-05
   22.000     6.4673e-05   4.0783e+01   1.4654e-05
   23.000     5.4736e-05   3.4744e+01   1.2402e-05
   24.000     4.6671e-05   2.9831e+01   1.0575e-05
   25.000     3.9623e-05   2.5499e+01   8.9780e-06
   27.500     2.6609e-05   1.7399e+01   6.0292e-06
   30.000     1.7828e-05   1.1794e+01   4.0397e-06
   32.500     1.2176e-05   8.2692e+00   2.7589e-06
   35.000     8.3275e-06   5.8261e+00   1.8869e-06
   37.500     5.7002e-06   4.1048e+00   1.2916e-06
   40.000     3.9050e-06   2.8921e+00   8.8482e-07
   42.500     2.6772e-06   2.0376e+00   6.0662e-07
   45.000     1.8368e-06   1.4356e+00   4.1620e-07
   47.500     1.3595e-06   1.0848e+00   3.0805e-07
   50.000     0.10273E-05  0.82800E+00  0.23698E-06
   55.000     0.56800E-06  0.44045E+00  0.13104E-06
   60.000     0.30906E-06  0.22771E+00  0.71295E-07
   65.000     0.16285E-06  0.11361E+00  0.37569E-07
   70.000     0.82868E-07  0.54414E-01  0.19114E-07
   75.000     0.40145E-07  0.24940E-01  0.92604E-08
   80.000     0.18430E-07  0.10993E-01  0.42513E-08
   85.000     0.82291E-08  0.46676E-02  0.18985E-08
   90.000     0.34321E-08  0.19250E-02  0.79163E-09
   95.000     0.14063E-08  0.78968E-03  0.32437E-09
  100.000     0.57185E-09  0.32602E-03  0.13189E-09
  105.000     0.24206E-09  0.13421E-03  0.55841E-10
  110.000     0.10312E-09  0.52792E-04  0.23788E-10
  115.000     0.46595E-10  0.17216E-04  0.10748E-10
  120.000     0.24596E-10  0.00000E+00  0.56734E-11
