# Atmospheric Model 2 (midlatitude summer)                  
#Col. #1        #2           #3            #4 
# Alt [km]  rho [g/cm^3] thick [g/cm^2]    n-1
    0.000   0.11919E-02  0.10365E+04  0.27610E-03
    1.000   0.10799E-02  0.92301E+03  0.24986E-03
    2.000   0.97660E-03  0.82027E+03  0.22580E-03
    3.000   0.88439E-03  0.72730E+03  0.20431E-03
    4.000   0.80011E-03  0.64314E+03  0.18474E-03
    5.000   0.72226E-03  0.56709E+03  0.16667E-03
    6.000   0.64940E-03  0.49857E+03  0.14989E-03
    7.000   0.58269E-03  0.43703E+03  0.13447E-03
    8.000   0.52219E-03  0.38184E+03  0.12051E-03
    9.000   0.46722E-03  0.33242E+03  0.10779E-03
   10.000   0.41627E-03  0.28829E+03  0.96025E-04
   11.000   0.37022E-03  0.24901E+03  0.85400E-04
   12.000   0.32772E-03  0.21416E+03  0.75600E-04
   13.000   0.28915E-03  0.18336E+03  0.66698E-04
   14.000   0.24726E-03  0.15659E+03  0.57037E-04
   15.000   0.21008E-03  0.13378E+03  0.48463E-04
   16.000   0.17940E-03  0.11434E+03  0.41380E-04
   17.000   0.15352E-03  0.97730E+02  0.35415E-04
   18.000   0.13058E-03  0.83556E+02  0.30117E-04
   19.000   0.11120E-03  0.71493E+02  0.25647E-04
   20.000   0.94603E-04  0.61225E+02  0.21827E-04
   21.000   0.80656E-04  0.52481E+02  0.18607E-04
   22.000   0.68728E-04  0.45027E+02  0.15857E-04
   23.000   0.58820E-04  0.38663E+02  0.13570E-04
   24.000   0.50115E-04  0.33228E+02  0.11564E-04
   25.000   0.42896E-04  0.28586E+02  0.98951E-05
   27.500   0.29098E-04  0.19699E+02  0.67123E-05
   30.000   0.19690E-04  0.13676E+02  0.45418E-05
   32.500   0.13563E-04  0.95673E+01  0.31290E-05
   35.000   0.92679E-05  0.67474E+01  0.21382E-05
   37.500   0.64351E-05  0.48060E+01  0.14847E-05
   40.000   0.45080E-05  0.34524E+01  0.10399E-05
   42.500   0.31858E-05  0.25002E+01  0.73489E-06
   45.000   0.22730E-05  0.18242E+01  0.52435E-06
   47.500   0.16343E-05  0.13402E+01  0.37693E-06
   50.000   0.12024E-05  0.98839E+00  0.27737E-06
   55.000   0.66660E-06  0.53424E+00  0.15377E-06
   60.000   0.36879E-06  0.28269E+00  0.85071E-07
   65.000   0.20181E-06  0.14421E+00  0.46552E-07
   70.000   0.10711E-06  0.69468E-01  0.24702E-07
   75.000   0.53338E-07  0.30906E-01  0.12301E-07
   80.000   0.24028E-07  0.12528E-01  0.55424E-08
   85.000   0.94603E-08  0.47136E-02  0.21820E-08
   90.000   0.34648E-08  0.17291E-02  0.79923E-09
   95.000   0.12221E-08  0.65307E-03  0.28187E-09
  100.000   0.47210E-09  0.25880E-03  0.10890E-09
  105.000   0.18353E-09  0.10608E-03  0.42341E-10
  110.000   0.81185E-10  0.43345E-04  0.18724E-10
  115.000   0.39174E-10  0.14520E-04  0.90361E-11
  120.000   0.20825E-10  0.00000E+00  0.48035E-11
