# Atmospheric Model 3 (midlatitude winter)
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
    0.000    0.13017E-02  0.10408E+04  0.30055E-03
    1.000    0.11624E-02  0.91769E+03  0.26840E-03
    2.000    0.10368E-02  0.80785E+03  0.23935E-03
    3.000    0.92366E-03  0.70993E+03  0.21312E-03
    4.000    0.82876E-03  0.62240E+03  0.19120E-03
    5.000    0.74140E-03  0.54397E+03  0.17108E-03
    6.000    0.66166E-03  0.47389E+03  0.15266E-03
    7.000    0.58912E-03  0.41143E+03  0.13585E-03
    8.000    0.52229E-03  0.35592E+03  0.12053E-03
    9.000    0.46228E-03  0.30675E+03  0.10663E-03
   10.000    0.40746E-03  0.26332E+03  0.93989E-04
   11.000    0.34970E-03  0.22554E+03  0.80667E-04
   12.000    0.29997E-03  0.19312E+03  0.69197E-04
   13.000    0.25736E-03  0.16531E+03  0.59368E-04
   14.000    0.22066E-03  0.14145E+03  0.50898E-04
   15.000    0.18906E-03  0.12101E+03  0.43611E-04
   16.000    0.16198E-03  0.10349E+03  0.37367E-04
   17.000    0.13880E-03  0.88482E+02  0.32023E-04
   18.000    0.11894E-03  0.75620E+02  0.27437E-04
   19.000    0.10172E-03  0.64610E+02  0.23466E-04
   20.000    0.87004E-04  0.55193E+02  0.20065E-04
   21.000    0.74211E-04  0.47149E+02  0.17113E-04
   22.000    0.63341E-04  0.40285E+02  0.14610E-04
   23.000    0.54107E-04  0.34425E+02  0.12480E-04
   24.000    0.46330E-04  0.29413E+02  0.10687E-04
   25.000    0.39525E-04  0.25130E+02  0.91172E-05
   27.500    0.26626E-04  0.16967E+02  0.61418E-05
   30.000    0.17800E-04  0.11487E+02  0.41056E-05
   32.500    0.11956E-04  0.78161E+01  0.27582E-05
   35.000    0.79213E-05  0.53659E+01  0.18277E-05
   37.500    0.53290E-05  0.37310E+01  0.12292E-05
   40.000    0.36264E-05  0.26252E+01  0.83651E-06
   42.500    0.25019E-05  0.18678E+01  0.57711E-06
   45.000    0.17396E-05  0.13434E+01  0.40128E-06
   47.500    0.12360E-05  0.97499E+00  0.28512E-06
   50.000    0.89601E-06  0.71076E+00  0.20670E-06
   55.000    0.48432E-06  0.37616E+00  0.11170E-06
   60.000    0.26130E-06  0.19545E+00  0.60276E-07
   65.000    0.13746E-06  0.99058E-01  0.31710E-07
   70.000    0.71037E-07  0.48748E-01  0.16382E-07
   75.000    0.35114E-07  0.23256E-01  0.80995E-08
   80.000    0.17088E-07  0.10742E-01  0.39421E-08
   85.000    0.79550E-08  0.47695E-02  0.18352E-08
   90.000    0.34600E-08  0.20699E-02  0.79806E-09
   95.000    0.14679E-08  0.90827E-03  0.33855E-09
  100.000    0.64977E-09  0.40634E-03  0.14986E-09
  105.000    0.29405E-09  0.18201E-03  0.67829E-10
  110.000    0.14198E-09  0.77579E-04  0.32753E-10
  115.000    0.71133E-10  0.26326E-04  0.16411E-10
  120.000    0.37687E-10  0.00000E+00  0.86931E-11
