# Atmospheric Model 4 (subarctic summer)         
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
    0.000     0.12204E-02  0.10314E+04  0.28229E-03
    1.000     0.11050E-02  0.91522E+03  0.25544E-03
    2.000     0.99783E-03  0.81017E+03  0.23054E-03
    3.000     0.89918E-03  0.71541E+03  0.20764E-03
    4.000     0.80793E-03  0.63013E+03  0.18648E-03
    5.000     0.72467E-03  0.55358E+03  0.16720E-03
    6.000     0.65233E-03  0.48479E+03  0.15057E-03
    7.000     0.58466E-03  0.42300E+03  0.13493E-03
    8.000     0.52320E-03  0.36767E+03  0.12068E-03
    9.000     0.46655E-03  0.31823E+03  0.10763E-03
   10.000     0.41438E-03  0.27424E+03  0.95586E-04
   11.000     0.35600E-03  0.23579E+03  0.82125E-04
   12.000     0.30603E-03  0.20275E+03  0.70591E-04
   13.000     0.26313E-03  0.17435E+03  0.60701E-04
   14.000     0.22600E-03  0.14994E+03  0.52131E-04
   15.000     0.19503E-03  0.12893E+03  0.44990E-04
   16.000     0.16718E-03  0.11085E+03  0.38563E-04
   17.000     0.14366E-03  0.95341E+02  0.33136E-04
   18.000     0.12351E-03  0.82008E+02  0.28494E-04
   19.000     0.10619E-03  0.70545E+02  0.24495E-04
   20.000     0.91333E-04  0.60687E+02  0.21067E-04
   21.000     0.78491E-04  0.52212E+02  0.18103E-04
   22.000     0.67478E-04  0.44927E+02  0.15568E-04
   23.000     0.58051E-04  0.38663E+02  0.13390E-04
   24.000     0.49682E-04  0.33287E+02  0.11455E-04
   25.000     0.42487E-04  0.28688E+02  0.98002E-05
   27.500     0.29021E-04  0.19856E+02  0.66939E-05
   30.000     0.19868E-04  0.13817E+02  0.45832E-05
   32.500     0.13654E-04  0.96750E+01  0.31494E-05
   35.000     0.93209E-05  0.68375E+01  0.21501E-05
   37.500     0.64640E-05  0.48862E+01  0.14907E-05
   40.000     0.45219E-05  0.35273E+01  0.10431E-05
   42.500     0.32080E-05  0.25705E+01  0.73996E-06
   45.000     0.23187E-05  0.18857E+01  0.53490E-06
   47.500     0.16910E-05  0.13886E+01  0.39012E-06
   50.000     0.12413E-05  0.10249E+01  0.28631E-06
   55.000     0.68343E-06  0.55752E+00  0.15759E-06
   60.000     0.38216E-06  0.29838E+00  0.88155E-07
   65.000     0.21378E-06  0.15344E+00  0.49313E-07
   70.000     0.11427E-06  0.74008E-01  0.26358E-07
   75.000     0.57618E-07  0.32639E-01  0.13291E-07
   80.000     0.25543E-07  0.12924E-01  0.58918E-08
   85.000     0.97249E-08  0.47340E-02  0.22427E-08
   90.000     0.34730E-08  0.16981E-02  0.80112E-09
   95.000     0.11947E-08  0.63066E-03  0.27562E-09
  100.000     0.45407E-09  0.24787E-03  0.10474E-09
  105.000     0.17430E-09  0.10177E-03  0.40205E-10
  110.000     0.77433E-10  0.42076E-04  0.17862E-10
  115.000     0.38241E-10  0.14300E-04  0.88210E-11
  120.000     0.20734E-10  0.00000E+00  0.47823E-11
