# Atmospheric Model 5 (subarctic winter)                        
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
    0.000     0.13724E-02  0.10350E+04  0.31665E-03
    1.000     0.11940E-02  0.90690E+03  0.27547E-03
    2.000     0.10585E-02  0.79441E+03  0.24427E-03
    3.000     0.93745E-03  0.69474E+03  0.21628E-03
    4.000     0.83469E-03  0.60623E+03  0.19255E-03
    5.000     0.74632E-03  0.52727E+03  0.17216E-03
    6.000     0.66510E-03  0.45677E+03  0.15343E-03
    7.000     0.59106E-03  0.39404E+03  0.13630E-03
    8.000     0.52279E-03  0.33842E+03  0.12058E-03
    9.000     0.45401E-03  0.28966E+03  0.10473E-03
   10.000     0.38808E-03  0.24764E+03  0.89518E-04
   11.000     0.33176E-03  0.21172E+03  0.76523E-04
   12.000     0.28343E-03  0.18102E+03  0.65380E-04
   13.000     0.24235E-03  0.15479E+03  0.55903E-04
   14.000     0.20719E-03  0.13236E+03  0.47795E-04
   15.000     0.17704E-03  0.11318E+03  0.40835E-04
   16.000     0.15179E-03  0.96775E+02  0.35012E-04
   17.000     0.13005E-03  0.82711E+02  0.29998E-04
   18.000     0.11139E-03  0.70663E+02  0.25691E-04
   19.000     0.95325E-04  0.60349E+02  0.21993E-04
   20.000     0.81618E-04  0.51519E+02  0.18823E-04
   21.000     0.69786E-04  0.43964E+02  0.16101E-04
   22.000     0.59686E-04  0.37504E+02  0.13768E-04
   23.000     0.51029E-04  0.31979E+02  0.11770E-04
   24.000     0.43598E-04  0.27258E+02  0.10057E-04
   25.000     0.37235E-04  0.23225E+02  0.85893E-05
   27.500     0.24692E-04  0.15591E+02  0.56958E-05
   30.000     0.16463E-04  0.10516E+02  0.37972E-05
   32.500     0.11023E-04  0.71251E+01  0.25430E-05
   35.000     0.73730E-05  0.48561E+01  0.17005E-05
   37.500     0.49298E-05  0.33387E+01  0.11367E-05
   40.000     0.33316E-05  0.23190E+01  0.76848E-06
   42.500     0.22730E-05  0.16269E+01  0.52427E-06
   45.000     0.15708E-05  0.11518E+01  0.36234E-06
   47.500     0.10874E-05  0.82320E+00  0.25089E-06
   50.000     0.76904E-06  0.59343E+00  0.17735E-06
   55.000     0.40227E-06  0.31044E+00  0.92794E-07
   60.000     0.21537E-06  0.16086E+00  0.49676E-07
   65.000     0.11086E-06  0.82174E-01  0.25573E-07
   70.000     0.56800E-07  0.41755E-01  0.13107E-07
   75.000     0.29704E-07  0.20855E-01  0.68522E-08
   80.000     0.15039E-07  0.10082E-01  0.34693E-08
   85.000     0.73634E-08  0.47082E-02  0.16980E-08
   90.000     0.34840E-08  0.21161E-02  0.80371E-09
   95.000     0.14986E-08  0.93945E-03  0.34565E-09
  100.000     0.67478E-09  0.42320E-03  0.15567E-09
  105.000     0.30839E-09  0.18924E-03  0.71133E-10
  110.000     0.14905E-09  0.79668E-04  0.34380E-10
  115.000     0.72480E-10  0.26567E-04  0.16723E-10
  120.000     0.37582E-10  0.00000E+00  0.86689E-11
