# Atmospheric Model  7 (MAGIC summer)            
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
    0.000     0.11982E-02  0.10475E+04  0.27622E-03
    1.000     0.10843E-02  0.93351E+03  0.24996E-03
    2.000     0.98142E-03  0.83032E+03  0.22624E-03
    3.000     0.88812E-03  0.73692E+03  0.20473E-03
    4.000     0.80326E-03  0.65242E+03  0.18516E-03
    5.000     0.72583E-03  0.57602E+03  0.16732E-03
    6.000     0.65499E-03  0.50704E+03  0.15099E-03
    7.000     0.59006E-03  0.44483E+03  0.13602E-03
    8.000     0.53043E-03  0.38884E+03  0.12227E-03
    9.000     0.47561E-03  0.33857E+03  0.10964E-03
   10.000     0.42521E-03  0.29356E+03  0.98017E-04
   11.000     0.37871E-03  0.25339E+03  0.87300E-04
   12.000     0.33532E-03  0.21771E+03  0.77298E-04
   13.000     0.29460E-03  0.18624E+03  0.67909E-04
   14.000     0.25645E-03  0.15872E+03  0.59117E-04
   15.000     0.22101E-03  0.13487E+03  0.50947E-04
   16.000     0.18858E-03  0.11442E+03  0.43472E-04
   17.000     0.15974E-03  0.97032E+02  0.36824E-04
   18.000     0.13472E-03  0.82340E+02  0.31056E-04
   19.000     0.11340E-03  0.69962E+02  0.26141E-04
   20.000     0.95491E-04  0.59544E+02  0.22012E-04
   21.000     0.80566E-04  0.50764E+02  0.18572E-04
   22.000     0.68120E-04  0.43348E+02  0.15703E-04
   23.000     0.57709E-04  0.37072E+02  0.13303E-04
   24.000     0.48977E-04  0.31751E+02  0.11290E-04
   25.000     0.41633E-04  0.27231E+02  0.95972E-05
   27.500     0.27911E-04  0.18658E+02  0.64340E-05
   30.000     0.18852E-04  0.12890E+02  0.43456E-05
   32.500     0.12810E-04  0.89820E+01  0.29530E-05
   35.000     0.87582E-05  0.63196E+01  0.20189E-05
   37.500     0.60421E-05  0.44921E+01  0.13928E-05
   40.000     0.42174E-05  0.32248E+01  0.97219E-06
   42.500     0.29845E-05  0.23345E+01  0.68797E-06
   45.000     0.21437E-05  0.17000E+01  0.49417E-06
   47.500     0.15620E-05  0.12411E+01  0.36008E-06
   50.000     0.11493E-05  0.90499E+00  0.26494E-06
   55.000     0.62773E-06  0.47387E+00  0.14470E-06
   60.000     0.33743E-06  0.23946E+00  0.77783E-07
   65.000     0.17428E-06  0.11547E+00  0.40176E-07
   70.000     0.85441E-07  0.52848E-01  0.19696E-07
   75.000     0.39842E-07  0.22833E-01  0.91844E-08
   80.000     0.15863E-07  0.91164E-02  0.36567E-08
   85.000     0.67705E-08  0.37720E-02  0.15607E-08
   90.000     0.28641E-08  0.14998E-02  0.66023E-09
   95.000     0.11562E-08  0.55029E-03  0.26651E-09
  100.000     0.40574E-09  0.18733E-03  0.93530E-10
  105.000     0.12661E-09  0.67119E-04  0.29187E-10
  110.000     0.42697E-10  0.29227E-04  0.98424E-11
  115.000     0.25003E-10  0.13623E-04  0.57636E-11
  120.000     0.21301E-10  0.00000E+00  0.49103E-11
